name,breed_group,adaptability,friendliness,health_and_needs,trainability,physical_needs,height_od,height_do,weight_od,weight_do,life_od,life_do
border-collie,Herding Dogs,3,4,3,4,5,45,55,13,20,12,15
border-sheepdog,Mixed Breed Dogs,3,4,3,4,4,40,55,11,20,12,15
border-terrier,Terrier Dogs,3,4,3,4,5,25,27,4,6,12,15
bordoodle,Mixed Breed Dogs,4,4,3,3,3,30,55,13,27,12,15
borzoi,Hound Dogs,4,4,4,4,2,66,81,24,47,10,12
boshih,Mixed Breed Dogs,3,3,3,2,3,30,38,4,9,12,15
bossie,Mixed Breed Dogs,3,4,3,4,5,38,58,11,18,12,15
boston-boxer,Mixed Breed Dogs,3,4,4,3,4,38,58,9,24,12,15
boston-terrier,Companion Dogs,4,5,3,3,5,30,38,4,11,13,15
boston-terrier-pekingese-mix,Mixed Breed Dogs,3,4,3,3,3,25,38,4,11,10,15
bouvier-des-flandres,Herding Dogs,3,4,3,3,4,58,66,31,45,10,12
boxador,Mixed Breed Dogs,2,4,4,4,5,58,63,22,49,12,15
boxer,Working Dogs,3,4,3,3,5,53,63,27,31,10,12
boxerdoodle,Mixed Breed Dogs,3,4,3,3,4,25,63,5,31,10,12
boxmatian,Mixed Breed Dogs,2,3,4,4,5,48,63,22,40,10,13
boxweiler,Mixed Breed Dogs,3,4,3,3,4,53,68,31,45,8,13
boykin-spaniel,Sporting Dogs,3,4,3,4,5,35,45,11,18,10,12
bracco-italiano,Sporting Dogs,3,4,3,3,4,55,66,24,40,10,14
braque-du-bourbonnais,Working Dogs,2,4,3,3,4,45,58,15,24,12,15
briard,Herding Dogs,3,4,2,4,4,55,68,31,45,10,12
brittany,Sporting Dogs,3,5,4,4,5,,,13,18,10,13
broholmer,Companion Dogs,3,4,4,3,3,55,76,40,68,8,12
brussels-griffon,Companion Dogs,3,4,3,3,4,17,20,3,5,12,15
bugg,Mixed Breed Dogs,3,3,3,3,3,35,45,4,11,10,15
bull-pei,Mixed Breed Dogs,2,2,4,2,2,40,45,15,29,9,11
bull-terrier,Terrier Dogs,3,5,3,4,5,53,55,15,34,10,15
bullador,Mixed Breed Dogs,2,4,4,4,4,43,50,22,40,10,12
bullboxer-pit,Mixed Breed Dogs,2,3,4,4,5,40,50,22,36,10,14
bulldog,Companion Dogs,3,4,4,2,3,30,38,18,22,8,12
bullmastiff,Working Dogs,3,4,4,3,4,60,68,45,58,8,10
bullmatian,Mixed Breed Dogs,2,4,3,3,4,27,60,18,29,8,12
cairn-terrier,Terrier Dogs,4,5,3,4,5,22,25,5,6,12,15
canaan-dog,Herding Dogs,4,3,3,3,4,48,60,15,24,12,15
cane-corso,Working Dogs,2,3,4,4,4,,,40,54,10,12
cardigan-welsh-corgi,Herding Dogs,4,4,3,4,3,25,2,11,17,12,15
carolina-dog,Hound Dogs,3,3,4,3,4,45,50,14,24,12,15
catahoula-bulldog,Mixed Breed Dogs,2,3,3,3,5,60,66,34,45,10,14
catahoula-leopard-dog,Herding Dogs,2,3,3,3,4,50,66,22,40,10,14
caucasian-shepherd-dog,Working Dogs,3,3,4,3,3,60,86,36,99,10,12
cav-a-jack,Mixed Breed Dogs,3,4,3,4,4,25,43,5,8,12,17
cavachon,Mixed Breed Dogs,4,5,3,3,4,30,33,6,15,10,15
cavador,Mixed Breed Dogs,3,4,3,3,4,45,60,9,24,10,14
cavalier-king-charles-spaniel,Companion Dogs,4,5,3,3,4,30,33,5,8,9,15
cavapoo,Mixed Breed Dogs,3,5,3,3,3,22,35,4,11,12,15
central-asian-shepherd-dog,Working Dogs,3,3,4,3,3,60,71,39,49,12,15
cesky-terrier,Terrier Dogs,4,3,3,3,3,25,33,5,13,10,15
chabrador,Mixed Breed Dogs,3,3,4,3,4,45,60,20,36,9,13
